sensor_type,device_type,timestamps,sin_from_avg_bedtime
sin_from_avg_bedtime,smartwatch,3.154e+16,-0.6279306829765546
sin_from_avg_bedtime,smartwatch,3.154003e+16,-0.6258919469928644
sin_from_avg_bedtime,smartwatch,3.154006e+16,-0.6238532110091743
sin_from_avg_bedtime,smartwatch,3.154009e+16,-0.6218144750254843
sin_from_avg_bedtime,smartwatch,3.154012e+16,-0.6197757390417942
sin_from_avg_bedtime,smartwatch,3.154015e+16,-0.617737003058104
sin_from_avg_bedtime,smartwatch,3.154018e+16,-0.6156982670744139
sin_from_avg_bedtime,smartwatch,3.154021e+16,-0.6136595310907238
sin_from_avg_bedtime,smartwatch,3.154024e+16,-0.6116207951070337
sin_from_avg_bedtime,smartwatch,3.154027e+16,-0.6095820591233436
sin_from_avg_bedtime,smartwatch,3.15403e+16,-0.6075433231396534
sin_from_avg_bedtime,smartwatch,3.154033e+16,-0.6055045871559633
sin_from_avg_bedtime,smartwatch,3.154036e+16,-0.6034658511722732
sin_from_avg_bedtime,smartwatch,3.154039e+16,-0.6014271151885832
sin_from_avg_bedtime,smartwatch,3.154042e+16,-0.599388379204893
sin_from_avg_bedtime,smartwatch,3.154045e+16,-0.5973496432212029
sin_from_avg_bedtime,smartwatch,3.154048e+16,-0.5953109072375128
sin_from_avg_bedtime,smartwatch,3.154051e+16,-0.5932721712538227
sin_from_avg_bedtime,smartwatch,3.154054e+16,-0.5912334352701326
sin_from_avg_bedtime,smartwatch,3.154057e+16,-0.5891946992864424
sin_from_avg_bedtime,smartwatch,3.15406e+16,-0.5871559633027523
sin_from_avg_bedtime,smartwatch,3.154063e+16,-0.5851172273190622
sin_from_avg_bedtime,smartwatch,3.154066e+16,-0.5830784913353722
sin_from_avg_bedtime,smartwatch,3.154069e+16,-0.581039755351682
sin_from_avg_bedtime,smartwatch,3.154072e+16,-0.5790010193679919
sin_from_avg_bedtime,smartwatch,3.154075e+16,-0.5769622833843018
sin_from_avg_bedtime,smartwatch,3.154078e+16,-0.5749235474006117
sin_from_avg_bedtime,smartwatch,3.154081e+16,-0.5728848114169216
sin_from_avg_bedtime,smartwatch,3.154084e+16,-0.5708460754332314
sin_from_avg_bedtime,smartwatch,3.154087e+16,-0.5688073394495413
sin_from_avg_bedtime,smartwatch,3.15409e+16,-0.5667686034658512
sin_from_avg_bedtime,smartwatch,3.154093e+16,-0.5647298674821611
sin_from_avg_bedtime,smartwatch,3.154096e+16,-0.5626911314984709
sin_from_avg_bedtime,smartwatch,3.154099e+16,-0.5606523955147809
sin_from_avg_bedtime,smartwatch,3.154102e+16,-0.5586136595310908
sin_from_avg_bedtime,smartwatch,3.154105e+16,-0.5565749235474007
sin_from_avg_bedtime,smartwatch,3.154108e+16,-0.5545361875637106
sin_from_avg_bedtime,smartwatch,3.154111e+16,-0.5524974515800204
sin_from_avg_bedtime,smartwatch,3.154114e+16,-0.5504587155963303
sin_from_avg_bedtime,smartwatch,3.154117e+16,-0.5484199796126402
sin_from_avg_bedtime,smartwatch,3.15412e+16,-0.5463812436289501
sin_from_avg_bedtime,smartwatch,3.154123e+16,-0.5443425076452599
sin_from_avg_bedtime,smartwatch,3.154126e+16,-0.5423037716615698
sin_from_avg_bedtime,smartwatch,3.154129e+16,-0.5402650356778798
sin_from_avg_bedtime,smartwatch,3.154132e+16,-0.5382262996941897
sin_from_avg_bedtime,smartwatch,3.154135e+16,-0.5361875637104996
sin_from_avg_bedtime,smartwatch,3.154138e+16,-0.5341488277268094
sin_from_avg_bedtime,smartwatch,3.154141e+16,-0.5321100917431193
sin_from_avg_bedtime,smartwatch,3.154144e+16,-0.5300713557594292
sin_from_avg_bedtime,smartwatch,3.154147e+16,-0.5280326197757391
sin_from_avg_bedtime,smartwatch,3.15415e+16,-0.5259938837920489
sin_from_avg_bedtime,smartwatch,3.154153e+16,-0.5239551478083588
sin_from_avg_bedtime,smartwatch,3.154156e+16,-0.5219164118246687
sin_from_avg_bedtime,smartwatch,3.154159e+16,-0.5198776758409787
sin_from_avg_bedtime,smartwatch,3.154162e+16,-0.5178389398572886
sin_from_avg_bedtime,smartwatch,3.154165e+16,-0.5158002038735984
sin_from_avg_bedtime,smartwatch,3.154168e+16,-0.5137614678899083
sin_from_avg_bedtime,smartwatch,3.154171e+16,-0.5117227319062182
sin_from_avg_bedtime,smartwatch,3.154174e+16,-0.5096839959225281
sin_from_avg_bedtime,smartwatch,3.154177e+16,-0.5076452599388379
sin_from_avg_bedtime,smartwatch,3.15418e+16,-0.5056065239551478
sin_from_avg_bedtime,smartwatch,3.154183e+16,-0.5035677879714577
sin_from_avg_bedtime,smartwatch,3.154186e+16,-0.5015290519877676
sin_from_avg_bedtime,smartwatch,3.154189e+16,-0.4994903160040775
sin_from_avg_bedtime,smartwatch,3.154192e+16,-0.4974515800203874
sin_from_avg_bedtime,smartwatch,3.154195e+16,-0.4954128440366973
sin_from_avg_bedtime,smartwatch,3.154198e+16,-0.4933741080530072
sin_from_avg_bedtime,smartwatch,3.154201e+16,-0.49133537206931704
sin_from_avg_bedtime,smartwatch,3.154204e+16,-0.48929663608562696
sin_from_avg_bedtime,smartwatch,3.154207e+16,-0.4872579001019368
sin_from_avg_bedtime,smartwatch,3.15421e+16,-0.4852191641182467
sin_from_avg_bedtime,smartwatch,3.154213e+16,-0.48318042813455664
sin_from_avg_bedtime,smartwatch,3.154216e+16,-0.4811416921508665
sin_from_avg_bedtime,smartwatch,3.154219e+16,-0.4791029561671764
sin_from_avg_bedtime,smartwatch,3.154222e+16,-0.47706422018348627
sin_from_avg_bedtime,smartwatch,3.154225e+16,-0.4750254841997962
